id,name,ingredients,effect,suitable,steps,taboo,images,ancient_quote
70,赤小豆鲤鱼汤,赤小豆、鲤鱼、陈皮,利水消肿，健脾祛湿,痰湿质、血瘀质,1. 赤小豆50g浸泡，鲤鱼1条（约400g）煎去腥；2. 陈皮5g泡软；3. 砂锅开水1.5L下全部食材慢煲1.5小时；4. 加盐2g。,疮疡初起及素有顽癣者忌食。,chixiaodouliyu.png,《本草纲目》：橘皮，苦能泄能燥，辛能散，温能和。此膳主理气健脾，燥湿化痰。
71,山楂麦芽饮,山楂、麦芽、冰糖,消食化积，行气化痰,痰湿质,1. 干山楂10g，炒麦芽15g洗净；2. 加水600ml小火慢煎20分钟；3. 滤出汤汁加冰糖10g饭后温服。,孕妇绝对禁用（易回乳流产）。,shanzhamaiya.png,《中医食疗学》：此膳具有【消食化积，行气化痰】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
72,扁豆薏米粥,白扁豆、薏米、大米,健脾化湿，和中消暑,痰湿质,1. 炒白扁豆30g、薏米30g浸泡2小时；2. 大米80g；3. 加水1L先煮扁豆薏米40分钟；4. 下大米熬30分钟至软烂。,白扁豆必须完全煮熟防中毒。,biandouyimi.png,《中医食疗学》：此膳具有【健脾化湿，和中消暑】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
73,生姜大枣茶,生姜、大枣、红糖,温中散寒，健脾祛湿,痰湿质、阳虚质,1. 带皮生姜片15g，大枣20g去核；2. 加水600ml小火加盖熬20分钟；3. 加红糖15g化开上午饮用。,内有实热及糖尿病患者忌服。,shengjiangdazao.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
74,冬瓜荷叶汤,冬瓜、鲜荷叶、薏米,清热解暑，利湿祛痰,湿热质,1. 薏米30g炒黄浸泡，带皮冬瓜300g块，鲜荷叶半张；2. 加水1L先煮薏米30分钟；3. 加冬瓜煮15分钟；4. 下荷叶煮5分钟加盐2g。,脾胃虚寒易腹泻者忌食。,dongguaheye.png,《中医食疗学》：此膳具有【清热解暑，利湿祛痰】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
75,苦瓜炒鸡蛋,苦瓜、鸡蛋、生姜,清热泻火，利湿解毒,湿热质,1. 苦瓜200g去白瓤切片盐腌去苦水，鸡蛋2个打散；2. 姜丝爆香，先炒鸡蛋盛出；3. 炒苦瓜断生，混入鸡蛋加盐2g。,苦瓜大寒，孕妇、脾胃虚寒者忌食。,kuguachaojidan.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
76,马齿苋拌蒜泥,鲜马齿苋、大蒜、醋,清热解毒，凉血利湿,湿热质,1. 鲜马齿苋300g焯水1分钟过凉沥干切段；2. 蒜泥15g，加生抽陈醋香油调汁；3. 淋入马齿苋拌匀。,孕妇、经常腹泻者绝对禁忌。,machixianbansuanni.png,《中医食疗学》：此膳具有【清热解毒，凉血利湿】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
77,茵陈蒿鲫鱼汤,茵陈蒿、鲫鱼、生姜,清利湿热，退黄利尿,湿热质,1. 鲫鱼1条（约300g）煎黄，姜片10g；2. 茵陈蒿15g装包；3. 沸水1.2L大火滚鱼汤15分钟；4. 下药包煲20分钟取出加盐3g。,非湿热性黄疸忌服茵陈蒿。,yinchenhaojiyu.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
78,黄瓜薏米沙拉,黄瓜、熟薏米、柠檬汁,清热利水，健脾祛湿,湿热质,1. 薏米50g煮熟开花过凉沥干；2. 鲜黄瓜1根刮成长条；3. 挤入柠檬汁10ml，加海盐黑胡椒橄榄油拌匀。,黄瓜生冷，脾虚胃寒者少食。,huangguayimi.png,《中医食疗学》：此膳具有【清热利水，健脾祛湿】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
79,土茯苓炖老鸭,土茯苓、老鸭、陈皮,解毒除湿，通利关节,湿热质,1. 老鸭400g焯水，鲜土茯苓100g切片（或干品30g），陈皮5g；2. 加水1.5L慢炖1.5-2小时；3. 加盐3g调味。,脾胃虚寒及肾虚多尿者慎用老鸭。,tufulinglaoya.png,《神农本草经》：茯苓主胸胁逆气，补中健胃。此膳以利水渗湿，健脾宁心见长。
80,芹菜炒木耳,芹菜、黑木耳、胡萝卜,清热平肝，利湿通便,湿热质,1. 泡发黑木耳50g，西芹150g段，胡萝卜50g片；2. 焯水沥干；3. 蒜末爆香大火快炒三鲜加盐2g生抽少许。,脾胃虚寒大便滑泄者不宜多食。,qincaichaomuer.png,《中医食疗学》：此膳具有【清热平肝，利湿通便】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
81,白扁豆山药粥,白扁豆、山药、粳米,健脾化湿，补中益气,湿热质,1. 炒白扁豆30g泡透，鲜山药150g切块，粳米80g；2. 扁豆加水1L先煮30分钟；3. 粳米山药下锅熬30分钟至烂稠。,扁豆若夹生含毒素必须熬烂。,baibiandoushanyao.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
82,凉拌蒲公英,鲜蒲公英、芝麻酱、醋,清热解毒，利尿散结,湿热质,1. 鲜蒲公英200g焯水1分钟过凉挤水切段；2. 芝麻酱15g加陈醋生抽蒜末调汁；3. 拌匀食用。,蒲公英大寒，阳虚外寒者忌食。,lianbanpugongying.png,《中医食疗学》：此膳具有【清热解毒，利尿散结】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
83,丝瓜豆腐汤,丝瓜、豆腐、虾皮,清热凉血，利湿通络,湿热质,1. 丝瓜200g切滚刀块，嫩豆腐150g切块，虾皮10g；2. 姜丝爆锅微炒丝瓜加开水800ml；3. 下豆腐虾皮煮5分钟加盐2g。,丝瓜性寒滑利，腹泻便溏者忌食。,siguadoufu.png,《中医食疗学》：此膳具有【清热凉血，利湿通络】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
84,山楂红糖水,山楂、红糖,活血化瘀，消食导滞,血瘀质,1. 鲜山楂50g去核（或干片15g）；2. 加水600ml小火熬煮15分钟出红亮色；3. 加红糖15g化开温服。,空腹、孕妇及胃酸过多者严禁食用。,shanzhahongtang.png,《中医食疗学》：此膳具有【活血化瘀，消食导滞】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
85,桃仁粥,桃仁、粳米,活血祛瘀，润肠通便,血瘀质,1. 药用干桃仁10g开水烫剥皮捣碎；2. 粳米100g；3. 砂锅加水1L同煮40分钟至粥粘稠。,桃仁破血，孕妇及便溏者绝对禁忌。,taorenzhou.png,《中医食疗学》：此膳具有【活血祛瘀，润肠通便】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
86,三七炖鸡,三七粉、鸡肉、生姜,活血止血，散瘀定痛,血瘀质,1. 鸡肉400g焯水姜片10g；2. 炖盅加水隔水炖1.5小时至烂熟；3. 趁热加入三七粉3-5g拌匀加盖焖10分钟，加盐2g。,孕妇及经期女性（非瘀血痛经）忌服。,sanqidunji.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
87,红花茶,红花、冰糖,活血通经，散瘀止痛,血瘀质,1. 取红花3g放玻璃杯；2. 倒入300ml 85度开水冲泡焖5分钟至水金黄；3. 加少许冰糖代茶频饮。,孕妇绝对禁忌（极易导致流产）。,honghuacha.png,《中医食疗学》：此膳具有【活血通经，散瘀止痛】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
88,黑木耳炒山药,黑木耳、山药、胡萝卜,活血化瘀，健脾补肾,血瘀质,1. 泡发木耳100g，鲜山药150g切片，胡萝卜50g片；2. 焯水断生；3. 葱姜爆香大火猛炒加盐2g少许陈醋。,鲜木耳不可直接食用需泡发干品。,heimuerchaoshanyao.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
89,丹参红枣茶,丹参、红枣,活血化瘀，养血安神,血瘀质,1. 丹参10g切薄片，红枣15g去核切开；2. 加水600ml浸泡10分钟后大火煮开小火熬20分钟；3. 滤药渣取汁饮。,孕妇及无瘀血者不宜服用丹参。,danshenhongzao.png,《中医食疗学》：此膳具有【活血化瘀，养血安神】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
90,川芎白芷鱼头汤,川芎、白芷、鱼头,活血行气，祛风止痛,血瘀质,1. 胖头鱼头半个（约400g）煎黄去腥；2. 川芎10g，白芷10g；3. 倒沸水1.5L加药材大火炖20分钟汤白加盐3g。,阴虚火旺、月经过多者忌服川芎。,chuanxiongbaizhiyutou.png,《中医食疗学》：此膳具有【活血行气，祛风止痛】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
91,玫瑰花粥,玫瑰花、粳米、冰糖,行气活血，解郁安神,血瘀质、气郁质,1. 粳米100g加水1L熬30分钟至粥粘稠；2. 干玫瑰花瓣5g，冰糖15g放入；3. 小火继续熬3-5分钟花香溢出。,孕妇及便秘者忌多食玫瑰花。,meiguihuazhou.png,《中医食疗学》：此膳具有【行气活血，解郁安神】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
92,益母草煮鸡蛋,益母草、鸡蛋,活血调经，利水消肿,血瘀质,1. 益母草15g装纱布袋，鸡蛋2个煮熟去壳；2. 药包与水煮蛋加水600ml同煮20分钟；3. 去包吃蛋喝汤（可加红糖）。,孕妇绝对禁忌（易致流产）。,yimucaozhujidan.png,《中医食疗学》：此膳具有【活血调经，利水消肿】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
93,姜醋猪脚,猪脚、生姜、甜醋,温经散寒，活血化瘀,血瘀质,1. 生姜100g不去皮拍扁煸干水分；2. 倒入甜醋500ml煲2小时；3. 猪脚500g焯水后放入，小火炖1.5小时软糯。,高血压及胃酸过多者慎食甜醋。,jiangcuzhujiao.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
94,藏红花蒸蛋,藏红花、鸡蛋,活血化瘀，凉血解毒,血瘀质,1. 藏红花5-8根温水30ml泡10分钟出黄；2. 鸡蛋2个打散加温水和藏红花液共150ml拌匀；3. 水开上锅中火蒸8分钟。,孕妇绝对禁用，出血性疾病忌食。,zanghonghuazhengdan.png,《中医食疗学》：此膳具有【活血化瘀，凉血解毒】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
95,桂枝茯苓粥,桂枝、茯苓、粳米,温经通脉，活血化瘀,血瘀质,1. 桂枝10g，茯苓15g加水煎20分钟去渣取汁；2. 粳米80g入药汁大火煮沸小火熬40分钟浓稠。,孕妇慎用，实热证实汗者忌服桂枝。,guizhifulingzhou.png,《神农本草经》：茯苓主胸胁逆气，补中健胃。此膳以利水渗湿，健脾宁心见长。
96,韭菜炒核桃仁,韭菜、核桃仁,温阳散寒，活血化瘀,血瘀质、阳虚质,1. 核桃仁50g去涩皮热油慢炒酥脆盛出；2. 韭菜200g切段猛火快炒；3. 混入核桃仁加盐2g翻匀。,阴虚火旺、有眼疾者不宜食用韭菜。,jiucaichaohetaoren.png,《中医食疗学》：此膳具有【温阳散寒，活血化瘀】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
97,玫瑰陈皮茶,玫瑰花、陈皮,疏肝解郁，理气健脾,气郁质,1. 陈皮5g刮白瓤切丝，干玫瑰花5朵；2. 置入玻璃杯加85度开水300ml；3. 盖盖焖5分钟水色微黄发红即可。,阴虚燥咳及便秘患者不宜多饮。,meiguichenpi.png,《本草纲目》：橘皮，苦能泄能燥，辛能散，温能和。此膳主理气健脾，燥湿化痰。
98,佛手瓜炒肉片,佛手瓜、猪里脊肉,疏肝理气，和胃止痛,气郁质,1. 佛手瓜200g切片，猪里脊150g切片加料酒淀粉腌制；2. 滑熟肉片盛出；3. 爆香姜末猛炒瓜片，混入肉片加盐2g。,阴虚火旺体虚者少食佛手瓜。,foshouguachaoroupian.png,《中医食疗学》：此膳具有【疏肝理气，和胃止痛】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
99,柴胡疏肝粥,柴胡、白芍、粳米,疏肝解郁，养血柔肝,气郁质,1. 柴胡10g，白芍10g装袋加水煎20分钟取汁去渣；2. 粳米80g入药汁加足水熬30-40分钟。,柴胡升散，肝阳上亢者忌服。,chaihushuganzhou.png,《中医食疗学》：此膳具有【疏肝解郁，养血柔肝】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
100,金橘蜜饯,金橘、冰糖,理气解郁，化痰止咳,气郁质,1. 鲜金橘500g盐水洗净切开去籽；2. 清水200ml加冰糖150g化开；3. 下金橘小火熬40分钟至透明软糯糖汁浓稠密封。,脾弱气虚者及糖尿病患者慎食。,jinjumijian.png,《中医食疗学》：此膳具有【理气解郁，化痰止咳】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
101,茉莉花炒鸡蛋,茉莉花、鸡蛋,理气开郁，和中下气,气郁质,1. 鲜茉莉花蕾30g（淡盐水净）或干品泡发；2. 鸡蛋3个打散加花和盐2g搅匀；3. 热锅下油中火翻炒至凝固溢香。,茉莉辛香偏温，内有实热不宜多食。,molihuachaojidan.png,《中医食疗学》：此膳具有【理气开郁，和中下气】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
102,香附炖猪肚,香附、猪肚、生姜,疏肝理气，健脾胃,气郁质,1. 猪肚半个洗净焯水切条；2. 醋炙香附15g装包，生姜15g；3. 砂锅加水1.5L炖1.5-2小时；4. 捞出药包加盐3g胡椒粉。,香附耗气伤血，气虚无气滞者忌服。,xiangfudunzhudu.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
103,薄荷绿豆汤,薄荷、绿豆、冰糖,疏风散热，清肝解郁,气郁质、特禀质,1. 绿豆50g浸泡2小时加水1L煮30分钟开花；2. 加冰糖15g化开；3. 关火前放入鲜薄荷叶10g焖2分钟放凉饮。,脾胃虚寒易腹泻忌饮薄荷。,bohelvdou.png,《中医食疗学》：此膳具有【疏风散热，清肝解郁】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
104,青皮山楂饮,青皮、山楂、红糖,疏肝破气，消食化滞,气郁质,1. 青皮5g，干山楂片10g；2. 加水500ml小火煎煮20分钟去渣取汁；3. 加红糖15g趁热温服。,青皮破气，孕妇及胃酸过多严禁饮用。,qingpishanzha.png,《中医食疗学》：此膳具有【疏肝破气，消食化滞】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
105,合欢花粥,合欢花、粳米、红枣,解郁安神，活血消肿,气郁质,1. 干合欢花10g煎15分钟去渣留汁；2. 粳米80g，红枣15g去核；3. 加入药汁加水熬40分钟软烂睡前温服。,合欢花活血，孕妇忌服。,hehuanhuazhou.png,《中医食疗学》：此膳具有【解郁安神，活血消肿】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
106,枳实萝卜汤,枳实、白萝卜、排骨,破气消积，化痰散瘀,气郁质,1. 排骨300g焯水，枳实10g装包；2. 砂锅加水1.2L炖1小时；3. 放入白萝卜块200g炖30分钟捞包加盐3g。,枳实破气力强，孕妇及无积滞者忌服。,zhishiluobo.png,《中医食疗学》：此膳具有【破气消积，化痰散瘀】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
107,梅花糕,梅花、糯米粉、白糖,疏肝和胃，化痰解毒,气郁质,1. 干绿萼梅5g冲泡取汁放凉；2. 混入糯米粉200g揉成面团捏成小饼包入豆沙馅；3. 蒸锅中大火蒸15分钟。,糯米不易消化，脾虚积滞少食。,meihuagao.png,《中医食疗学》：此膳具有【疏肝和胃，化痰解毒】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
108,橘皮姜茶,橘皮、生姜、红糖,理气健脾，温中散寒,气郁质,1. 鲜橘皮20g切丝，生姜15g切丝；2. 加水500ml加盖小火煮10分钟；3. 加红糖15g趁热饮以微出汗为佳。,阴虚火旺、口干舌燥者忌饮。,jupijiangcha.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
109,郁金炖鸡,郁金、鸡肉、枸杞,行气解郁，清心凉血,气郁质,1. 鸡肉400g焯水，郁金10g，生姜10g；2. 炖盅加水隔水慢炖1.5小时；3. 出锅前加枸杞10g盐2g调味。,郁金行气破血，孕妇及无瘀滞者忌服。,yujindunji.png,《中医食疗学》：此膳具有【行气解郁，清心凉血】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
110,荔枝核茶,荔枝核、蜂蜜,理气止痛，散结祛寒,气郁质,1. 干荔枝核15g用锤子砸碎捣烂；2. 加水500ml小火煎煮20分钟滤渣取汤；3. 温热加蜂蜜15g代茶饮。,偏温燥，阴虚火旺及无寒凝气滞忌服。,lizhihecha.png,《中医食疗学》：此膳具有【理气止痛，散结祛寒】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
111,木香粥,木香、粳米、山药,行气止痛，健脾消食,气郁质,1. 木香5g水煎20分钟去渣取汁；2. 鲜山药100g丁，粳米80g加水1L煮30分钟；3. 倒入木香药汁稍煮沸搅匀。,木香行气辛燥，阴虚津液亏损忌服。,muxiangzhou.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
112,黄芪防风粥,黄芪、防风、粳米,益气固表，减少过敏,特禀质,1. 黄芪15g防风10g装袋加水煎30分钟去袋留汁；2. 粳米80g入药汁熬40分钟至粘稠。,感冒发烧、阴虚内热证候严禁服用。,huangqifangfeng.png,《本草纲目》：黄芪为补气之要药。此膳用以益气固表，升阳举陷。
113,山药百合羹,山药、百合、冰糖,健脾润肺，缓解敏感,特禀质,1. 鲜山药150g打泥，干百合15g泡软；2. 加水800ml先煮山药泥15分钟防糊底；3. 下百合煮10分钟加冰糖15g。,滋腻收敛，大便干结、实邪积滞少食。,shanyaobaihe.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
114,红枣枸杞茶,红枣、枸杞、生姜,补气养血，改善体虚,特禀质,1. 生姜片10g，红枣20g去核；2. 加水600ml煮15分钟；3. 关火前加枸杞10g焖2分钟。,外感风热、脾虚痰湿内有实热忌饮。,hongzaogouqi.png,《名医别录》：生姜主伤寒头痛鼻塞，咳逆上气。此膳取其温中散寒之效。
115,白术茯苓汤,白术、茯苓、猪肚,健脾祛湿，减少过敏,特禀质,1. 猪肚半个洗净焯水切条；2. 白术15g，茯苓15g，生姜15g；3. 砂锅加水1.5L慢炖1.5小时至软烂加盐3g。,阴虚内热导致口干舌燥者忌服白术。,baizhufuling.png,《金匮要略》：治痰饮，当以温药和之。白术健脾燥湿，茯苓利水渗湿，正合此意。
116,薏苡仁绿豆粥,薏苡仁、绿豆、粳米,清热利湿，解毒抗敏,特禀质,1. 炒薏苡仁30g、绿豆30g浸泡2小时；2. 粳米60g；3. 先加水1L煮薏仁绿豆40分钟微开花；4. 下粳米熬至软烂。,脾胃虚寒易腹泻及孕妇（忌薏仁）禁食。,yiyirenlvdou.png,《中医食疗学》：此膳具有【清热利湿，解毒抗敏】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
117,党参乌鸡汤,党参、乌鸡、生姜,补中益气，提升抵抗力,特禀质,1. 乌鸡400g焯水去腥；2. 党参15g切段，生姜15g；3. 加冷水1.5L隔水慢炖2小时至脱骨加盐3g。,感冒发热、肝火旺盛者不宜进补。,dangshenwuji.png,《本草正义》：党参力能补脾养胃，润肺生津，健运中气。本膳以健脾补气为主。
118,莲子芡实粥,莲子、芡实、糯米,健脾固肾，改善过敏,特禀质,1. 芡实20g莲子20g浸泡2小时；2. 糯米80g；3. 加水1L下芡实莲子煮40分钟；4. 下糯米熬30分钟加蜂蜜调味。,糯米芡实极具收敛作用，便秘胀气忌食。,lianziqianshi.png,《中医食疗学》：此膳具有【健脾固肾，改善过敏】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
119,防风炖排骨,防风、排骨、胡萝卜,祛风解表，减少外感,特禀质,1. 排骨300g焯水；2. 防风10g装袋，胡萝卜150g切块；3. 加沸水1.2L排骨防风炖1小时；4. 下胡萝卜炖30分钟捞包加盐2g。,阴虚火旺、无风邪及血虚发痉者忌服防风。,fangfengdunpaigu.png,《中医食疗学》：此膳具有【祛风解表，减少外感】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
120,银耳雪梨汤,银耳、雪梨、冰糖,滋阴润肺，缓解过敏,特禀质,1. 银耳10g泡发撕碎加水1L极小火炖1小时出胶；2. 雪梨1个切块连皮与冰糖15g加入同炖20分钟浓稠。,风寒咳嗽（痰清稀）、脾胃虚寒易腹泻忌食。,yinerxueli.png,《中医食疗学》：此膳具有【滋阴润肺，缓解过敏】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
121,黄芪炖鲫鱼,黄芪、鲫鱼、生姜,益气利水，增强免疫,特禀质,1. 鲫鱼1条（300g）煎黄去腥；2. 倒沸水1.2L大火滚15分钟汤白；3. 加黄芪15g小火炖20分钟挑出黄芪加盐3g。,感冒发烧、体虚表热实证患者不宜吃。,huangqidunjiyu.png,《本草纲目》：黄芪为补气之要药。此膳用以益气固表，升阳举陷。
122,茯苓山药糕,茯苓粉、山药粉、蜂蜜,健脾渗湿，调理体质,特禀质,1. 纯茯苓粉100g与山药粉100g混匀；2. 少量多次加温水揉成团模具压型；3. 蒸20分钟熟透，表面刷蜂蜜食。,阴虚火旺、口干咽燥及大便秘结少食。,fulingshanyao.png,《神农本草经》：山药主伤中，补虚，羸瘦，除寒热邪气，补中益气力。故此方重在健脾益气。
123,当归红枣茶,当归、红枣、红糖,补血活血，改善血虚,特禀质,1. 当归切片5g洗净，红枣15g去核切开；2. 加水500ml泡10分钟后慢煎15分钟；3. 去渣加红糖10g温服。,孕妇、月经期量大及大便溏泻严禁服用当归。,dangguihongzao.png,《中医食疗学》：此膳具有【补血活血，改善血虚】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
124,白术薏米粥,白术、薏苡仁、粳米,健脾燥湿，减少过敏,特禀质,1. 炒薏苡仁30g浸泡2小时，粳米80g；2. 白术10g加水煮20分钟滤汁；3. 薏仁粳米加水1L熬40分钟，后倒药汁同煮。,阴虚燥热、津液枯渴及孕妇忌食薏米白术。,baizhuyimi.png,《中医食疗学》：此膳具有【健脾燥湿，减少过敏】之功，正合《内经》“虚者补之，寒者热之”之理，宜于日常调养。
