id,name,pinyin_full,pinyin_initial,tags,methods,matches,taboos,constitution
1,黄芪,huangqi,hq,补气,煎服/泡水/煲汤,党参/大枣/鸡肉,萝卜/浓茶,气虚质/阳虚质
2,人参,renshen,rs,补气,煎服/泡酒/煲汤,鸡肉/大枣/枸杞,萝卜/藜芦/浓茶,气虚质/阳虚质
3,党参,dangshen,ds,补气,煎服/煲汤/煮粥,黄芪/大枣/鸡肉,萝卜/浓茶,气虚质/阳虚质
4,山药,shanyao,sy,补气/滋阴,煮粥/煲汤/蒸制,大米/枸杞/红枣,猪肝/黄瓜/南瓜,气虚质/脾虚质
5,大枣,dazao,dz,补气/补血,煮粥/泡茶/煲汤,枸杞/桂圆/山药,海鲜/葱/黄瓜,气虚质/血虚质
6,糯米,nuomi,nm,补气/健脾,煮粥/包粽子,红枣/桂圆/山药,鸡肉/苹果,气虚质/脾虚质
7,鸡肉,jirou,jr,补气,煲汤/清炖/红烧,黄芪/大枣/山药,鲤鱼/大蒜/芥末,气虚质/阳虚质
8,牛肉,niurou,nr,补气/补血,炖煮/红烧/煲汤,红枣/枸杞/山药,韭菜/白酒/板栗,气虚质/血虚质
9,当归,danggui,dg,补血,煎服/煲汤/泡酒,红枣/桂圆/枸杞,萝卜/浓茶/绿豆,血虚质/血瘀质
10,桂圆,guiyuan,gy,补气/补血/温阳,泡茶/煮粥/煲汤,红枣/枸杞/红糖,绿豆/西瓜/冷饮,血虚质/阳虚质
11,猪肝,zhugan,zg,补血,爆炒/煲汤/煮粥,菠菜/枸杞/红枣,豆芽/西红柿/辣椒,血虚质
12,红肉(猪/牛),hongrou(zhu/niu),hr(z/n),补血,炖煮/爆炒/煲汤,红枣/枸杞/菠菜,浓茶/柿子,血虚质
13,黑芝麻,heizhima,hzm,补血/滋阴,煮粥/磨粉/煲汤,核桃/枸杞/红枣,鸡肉/鸭肉,血虚质/阴虚质
14,樱桃,yingtao,yt,补血,直接食用/榨汁/煮粥,红枣/枸杞/红糖,黄瓜/胡萝卜,血虚质
15,红糖,hongtang,ht,补血/健脾,冲水/煮粥/煲汤,红枣/桂圆/枸杞,皮蛋/牛奶,血虚质/阳虚质
16,银耳,yiner,ye,滋阴,炖汤/煮粥/凉拌,百合/枸杞/梨,菠菜/浓茶,阴虚质
17,百合,baihe,bh,滋阴,炖汤/煮粥/泡茶,银耳/莲子/枸杞,羊肉/狗肉,阴虚质/气郁质
18,麦冬,maidong,md,滋阴,泡茶/煲汤/煮粥,百合/枸杞/梨,鲫鱼/萝卜,阴虚质
19,枸杞,gouqi,gq,滋阴,泡茶/煲汤/煮粥,菊花/百合/红枣,绿茶/狗肉/牛肉,阴虚质/肝肾不足
20,鸭肉,yarou,yr,滋阴,煲汤/清炖/红烧,百合/枸杞/冬瓜,李子/甲鱼,阴虚质
21,梨,li,li,滋阴/清热,生吃/炖汤/榨汁,银耳/百合/蜂蜜,螃蟹/热水,阴虚质/湿热质
22,蜂蜜,fengmi,fm,滋阴,冲水/调味/煲汤,柠檬/百合/梨,豆腐/韭菜/葱,阴虚质/脾虚质
23,豆腐,doufu,df,滋阴/健脾,炖煮/清炒/凉拌,白菜/香菇/冬瓜,菠菜/蜂蜜/韭菜,阴虚质/脾虚质
24,生姜,shengjiang,sj,温阳/健脾,泡茶/煲汤/调味,红糖/红枣/羊肉,兔肉/韭菜/白酒,阳虚质/脾虚质
25,羊肉,yangrou,yr,温阳,炖煮/煲汤/红烧,生姜/当归/枸杞,醋/西瓜/南瓜,阳虚质
26,韭菜,jiucai,jc,温阳/健脾,清炒/包饺子/煮粥,鸡蛋/虾仁/生姜,白酒/牛肉/蜂蜜,阳虚质
27,核桃,hetao,ht,温阳,直接食用/煮粥/煲汤,芝麻/枸杞/红枣,浓茶/白酒,阳虚质/肾虚质
28,胡椒,hujiao,hj,温阳/健脾,调味/煲汤/煮粥,羊肉/生姜/牛肉,柿子/生冷食物,阳虚质
29,虾,xia,x,温阳,清炒/煲汤/白灼,韭菜/生姜/枸杞,维生素C/南瓜/红枣,阳虚质
30,栗子,lizi,lz,温阳/健脾,煮粥/煲汤/糖炒,山药/红枣/大米,牛肉/羊肉/杏仁,阳虚质/脾虚质
31,绿豆,lvdou,ld,清热/健脾,煮汤/煮粥/磨粉,百合/莲子/冰糖,狗肉/羊肉/滋补药材,湿热质/阴虚质
32,苦瓜,kugua,kg,清热,清炒/煲汤/榨汁,鸡蛋/排骨/冬瓜,豆腐/虾/猪肝,湿热质
33,冬瓜,donggua,dg,清热/健脾,煲汤/清炒/炖肉,薏米/绿豆/百合,红豆/鲫鱼(过量),湿热质
34,芹菜,qincai,qc,清热,清炒/榨汁/煲汤,香菇/豆腐/虾仁,黄瓜/蛤蜊,湿热质/肝火旺
35,黄瓜,huanggua,hg,清热,生吃/凉拌/清炒,木耳/鸡蛋/虾仁,西红柿/辣椒/菠菜,湿热质
36,金银花,jinyinhua,jyh,清热,泡茶/煲汤/煮粥,菊花/薄荷/莲子,温补食材(羊肉/桂圆/姜),湿热质
37,莲子,lianzi,lz,清热/健脾,煮粥/煲汤/泡茶,百合/银耳/绿豆,猪肚/柿子,湿热质/脾虚质
38,蒲公英,pugongying,pgy,清热,泡茶/凉拌/煲汤,菊花/金银花/绿豆,生冷食物/温补药材,湿热质
39,小米,xiaomi,xm,健脾,煮粥/熬汤,山药/南瓜/红枣,杏仁/醋,脾虚质
40,大米,dami,dm,健脾/补气,煮粥/煮饭/煲汤,山药/南瓜/小米,苍术/蜂蜜,脾虚质/气虚质
41,南瓜,nangua,ng,健脾/补气,煮粥/蒸制/煲汤,大米/小米/红枣,羊肉/菠菜,脾虚质/气虚质
42,薏米,yimi,ym,健脾/清热,煮粥/煲汤/磨粉,红豆/茯苓/冬瓜,菠菜/蜂蜜,脾虚质/湿热质
43,白萝卜,bailuobo,blb,健脾/清热,清炒/炖汤/榨汁,梨/蜂蜜/冬瓜,人参/党参/黄芪,脾虚质/湿热质
44,芡实,Qianshi,qs,健脾/滋阴,煮粥/煲汤/磨粉,山药/薏米/莲子,生冷食物/油腻食物,脾虚质/肾虚质
45,茯苓,fuling,fl,健脾/清热,煎服/煲汤/煮粥,薏米/山药/莲子,醋/浓茶,脾虚质/湿热质
46,莲藕,lianou,lo,健脾/清热,清炒/炖汤/蒸制,排骨/红枣/百合,大豆/猪肝,脾虚质/湿热质
47,芋头,yutou,yt,健脾,蒸制/煮粥/煲汤,大米/小米/红枣,香蕉/柿子,脾虚质
48,扁豆,biandou,bd,健脾/清热,清炒/煮粥/煲汤,山药/薏米/莲子,生冷食物/油炸食物,脾虚质/湿热质